RRI_inf,PPI_inf,PPI_pix,label,
679.6875,679.6875,673.1707317,0,0
675.78125,667.96875,682.9268293,0,0
687.5,687.5,673.1707317,0,0
675.78125,675.78125,692.6829268,0,0
687.5,691.40625,673.1707317,0,0
695.3125,695.3125,692.6829268,0,0
683.59375,691.40625,702.4390244,0,0
667.96875,667.96875,653.6585366,0,0
683.59375,675.78125,692.6829268,0,0
675.78125,671.875,663.4146341,0,0
679.6875,671.875,692.6829268,0,0
687.5,683.59375,682.9268293,0,0
660.15625,664.0625,692.6829268,0,0
660.15625,660.15625,624.3902439,0,0
667.96875,664.0625,556.097561,1,0
687.5,687.5,819.5121951,1,0
703.125,703.125,702.4390244,0,0
683.59375,687.5,682.9268293,0,0
691.40625,695.3125,702.4390244,0,0
679.6875,687.5,682.9268293,0,0
667.96875,667.96875,663.4146341,0,0
648.4375,656.25,653.6585366,0,0
640.625,640.625,643.902439,0,0
652.34375,652.34375,634.1463415,0,0
652.34375,644.53125,653.6585366,0,0
640.625,640.625,643.902439,0,0
628.90625,628.90625,634.1463415,0,0
617.1875,617.1875,614.6341463,0,0
636.71875,632.8125,643.902439,0,0
628.90625,625,624.3902439,0,0
636.71875,636.71875,624.3902439,0,0
636.71875,636.71875,663.4146341,0,0
640.625,640.625,634.1463415,0,0
664.0625,664.0625,663.4146341,0,0
675.78125,671.875,682.9268293,0,0
710.9375,714.84375,712.195122,0,0
707.03125,710.9375,712.195122,0,0
746.09375,750,741.4634146,0,0
738.28125,742.1875,741.4634146,0,0
734.375,734.375,721.9512195,0,0
703.125,703.125,721.9512195,0,0
726.5625,722.65625,721.9512195,0,0
714.84375,710.9375,702.4390244,0,0
730.46875,730.46875,751.2195122,0,0
710.9375,710.9375,712.195122,0,0
730.46875,730.46875,712.195122,0,0
710.9375,714.84375,712.195122,0,0
726.5625,730.46875,721.9512195,0,0
722.65625,722.65625,731.7073171,0,0
718.75,722.65625,721.9512195,0,0
718.75,714.84375,712.195122,0,0
722.65625,722.65625,731.7073171,0,0
699.21875,695.3125,712.195122,0,0
707.03125,707.03125,692.6829268,0,0
707.03125,699.21875,702.4390244,0,0
710.9375,710.9375,721.9512195,0,0
703.125,703.125,702.4390244,0,0
734.375,738.28125,731.7073171,0,0
738.28125,738.28125,751.2195122,0,0
714.84375,718.75,712.195122,0,0
714.84375,718.75,721.9512195,0,0
714.84375,718.75,731.7073171,0,0
707.03125,699.21875,673.1707317,0,0
679.6875,683.59375,692.6829268,0,0
687.5,683.59375,682.9268293,0,0
679.6875,675.78125,673.1707317,0,0
679.6875,675.78125,682.9268293,0,0
675.78125,675.78125,692.6829268,0,0
679.6875,683.59375,682.9268293,0,0
691.40625,687.5,682.9268293,0,0
703.125,703.125,712.195122,0,0
695.3125,699.21875,682.9268293,0,0
714.84375,710.9375,721.9512195,0,0
710.9375,718.75,712.195122,0,0
714.84375,714.84375,731.7073171,0,0
703.125,707.03125,682.9268293,0,0
714.84375,707.03125,731.7073171,0,0
707.03125,710.9375,702.4390244,0,0
695.3125,695.3125,692.6829268,0,0
675.78125,675.78125,682.9268293,0,0
695.3125,695.3125,702.4390244,0,0
691.40625,687.5,682.9268293,0,0
695.3125,699.21875,692.6829268,0,0
675.78125,675.78125,673.1707317,0,0
