RRI_inf,PPI_pix
621.09375,620.0
605.46875,610.0
605.46875,610.0
609.375,610.0
613.28125,620.0
617.1875,610.0
605.46875,610.0
617.1875,590.0
621.09375,610.0
628.90625,640.0
640.625,640.0
652.34375,660.0
664.0625,670.0
648.4375,660.0
636.71875,630.0
640.625,620.0
644.53125,650.0
636.71875,630.0
632.8125,630.0
632.8125,630.0
628.90625,630.0
636.71875,630.0
656.25,660.0
664.0625,660.0
679.6875,680.0
683.59375,690.0
667.96875,670.0
652.34375,650.0
660.15625,660.0
664.0625,650.0
675.78125,680.0
675.78125,690.0
675.78125,680.0
656.25,650.0
648.4375,650.0
644.53125,640.0
652.34375,640.0
664.0625,660.0
671.875,680.0
652.34375,660.0
648.4375,650.0
664.0625,650.0
664.0625,670.0
687.5,690.0
687.5,680.0
675.78125,680.0
675.78125,670.0
675.78125,680.0
679.6875,680.0
652.34375,650.0
656.25,660.0
660.15625,650.0
660.15625,660.0
667.96875,660.0
656.25,670.0
644.53125,640.0
652.34375,650.0
656.25,670.0
664.0625,650.0
652.34375,590.0
640.625,700.0
632.8125,610.0
644.53125,650.0
636.71875,640.0
625.0,640.0
632.8125,620.0
636.71875,640.0
640.625,640.0
648.4375,660.0
656.25,650.0
644.53125,650.0
636.71875,630.0
640.625,630.0
644.53125,640.0
636.71875,650.0
640.625,640.0
632.8125,660.0
621.09375,620.0
617.1875,580.0
617.1875,640.0
625.0,590.0
628.90625,650.0
609.375,620.0
605.46875,590.0
601.5625,600.0
601.5625,590.0
597.65625,600.0
613.28125,600.0
644.53125,640.0
687.5,680.0
699.21875,720.0
726.5625,720.0
699.21875,710.0
671.875,680.0
699.21875,690.0
707.03125,700.0
726.5625,730.0
722.65625,720.0
667.96875,680.0
656.25,650.0
660.15625,640.0
683.59375,690.0
703.125,700.0
730.46875,740.0
734.375,730.0
734.375,740.0
687.5,690.0
691.40625,680.0
695.3125,680.0
718.75,730.0
722.65625,730.0
718.75,730.0
675.78125,670.0
664.0625,670.0
675.78125,660.0
675.78125,680.0
679.6875,680.0
656.25,660.0
644.53125,650.0
656.25,640.0
660.15625,660.0
675.78125,670.0
675.78125,680.0
667.96875,670.0
648.4375,650.0
652.34375,640.0
656.25,650.0
664.0625,670.0
679.6875,680.0
667.96875,670.0
660.15625,670.0
644.53125,640.0
648.4375,640.0
656.25,650.0
660.15625,660.0
667.96875,660.0
656.25,680.0
648.4375,640.0
652.34375,650.0
664.0625,650.0
656.25,670.0
664.0625,660.0
667.96875,660.0
644.53125,640.0
644.53125,650.0
652.34375,640.0
675.78125,690.0
691.40625,690.0
687.5,690.0
687.5,690.0
679.6875,680.0
699.21875,690.0
671.875,680.0
652.34375,650.0
652.34375,650.0
652.34375,650.0
632.8125,640.0
628.90625,620.0
632.8125,630.0
671.875,660.0
718.75,720.0
757.8125,770.0
773.4375,770.0
761.71875,770.0
750.0,760.0
742.1875,730.0
742.1875,740.0
746.09375,740.0
734.375,740.0
714.84375,710.0
695.3125,700.0
664.0625,660.0
