valley_location,PPI
116.0,0.0
154.0,380.0
238.0,840.0
277.0,390.0
315.0,380.0
392.0,770.0
470.0,780.0
552.0,820.0
631.0,790.0
704.0,730.0
783.0,790.0
864.0,810.0
944.0,800.0
1021.0,770.0
1096.0,750.0
1164.0,680.0
1234.0,700.0
1303.0,690.0
1373.0,700.0
1446.0,730.0
1516.0,700.0
1584.0,680.0
1658.0,740.0
1733.0,750.0
1809.0,760.0
1880.0,710.0
1946.0,660.0
2011.0,650.0
2074.0,630.0
2137.0,630.0
2199.0,620.0
2258.0,590.0
2320.0,620.0
2380.0,600.0
2443.0,630.0
2509.0,660.0
2573.0,640.0
2636.0,630.0
2697.0,610.0
2760.0,630.0
2824.0,640.0
2891.0,670.0
2958.0,670.0
3020.0,620.0
3082.0,620.0
3146.0,640.0
3212.0,660.0
3249.0,370.0
3340.0,910.0
3439.0,990.0
3476.0,370.0
3538.0,620.0
3616.0,780.0
3690.0,740.0
3726.0,360.0
3763.0,370.0
3832.0,690.0
3901.0,690.0
3969.0,680.0
4038.0,690.0
4104.0,660.0
4169.0,650.0
4233.0,640.0
4302.0,690.0
4361.0,590.0
4401.0,400.0
4487.0,860.0
4555.0,680.0
4616.0,610.0
4684.0,680.0
4754.0,700.0
4821.0,670.0
4886.0,650.0
4950.0,640.0
5013.0,630.0
5070.0,570.0
5136.0,660.0
5199.0,630.0
5260.0,610.0
5322.0,620.0
5383.0,610.0
5447.0,640.0
5510.0,630.0
5575.0,650.0
5638.0,630.0
5703.0,650.0
5772.0,690.0
5844.0,720.0
5917.0,730.0
5987.0,700.0
6054.0,670.0
6118.0,640.0
6183.0,650.0
6251.0,680.0
6319.0,680.0
6389.0,700.0
6459.0,700.0
6526.0,670.0
6595.0,690.0
6665.0,700.0
6736.0,710.0
6804.0,680.0
6869.0,650.0
6937.0,680.0
7007.0,700.0
7079.0,720.0
7151.0,720.0
7218.0,670.0
7284.0,660.0
7346.0,620.0
7409.0,630.0
7469.0,600.0
7529.0,600.0
7589.0,600.0
7649.0,600.0
7706.0,570.0
7763.0,570.0
7822.0,590.0
7886.0,640.0
7947.0,610.0
8006.0,590.0
8067.0,610.0
8131.0,640.0
8200.0,690.0
8266.0,660.0
8332.0,660.0
8458.0,1260.0
8522.0,640.0
8580.0,580.0
8637.0,570.0
8695.0,580.0
8803.0,1080.0
8860.0,570.0
8917.0,570.0
8991.0,740.0
9071.0,800.0
9151.0,800.0
9192.0,410.0
9234.0,420.0
9309.0,750.0
9387.0,780.0
9464.0,770.0
9550.0,860.0
9586.0,360.0
9624.0,380.0
9690.0,660.0
9757.0,670.0
9823.0,660.0
9887.0,640.0
9952.0,650.0
10020.0,680.0
10090.0,700.0
10159.0,690.0
10228.0,690.0
10291.0,630.0
10353.0,620.0
10415.0,620.0
10479.0,640.0
10545.0,660.0
10614.0,690.0
10683.0,690.0
10754.0,710.0
10826.0,720.0
10898.0,720.0
10963.0,650.0
11032.0,690.0
11103.0,710.0
11175.0,720.0
11248.0,730.0
