RRI_inf,PPI_inf,PPI_pix
863.28125,863.28125,1520.0
820.3125,824.21875,880.0
871.09375,867.1875,1490.0
878.90625,875.0,940.0
839.84375,843.75,810.0
902.34375,898.4375,830.0
910.15625,914.0625,870.0
859.375,859.375,780.0
863.28125,863.28125,1170.0
855.46875,855.46875,1460.0
863.28125,859.375,880.0
796.875,800.78125,920.0
828.125,828.125,990.0
824.21875,824.21875,750.0
785.15625,781.25,780.0
777.34375,781.25,920.0
800.78125,796.875,750.0
796.875,796.875,660.0
765.625,761.71875,1280.0
792.96875,792.96875,980.0
835.9375,835.9375,1400.0
851.5625,851.5625,1550.0
816.40625,820.3125,830.0
875.0,875.0,860.0
878.90625,882.8125,1430.0
855.46875,855.46875,1090.0
808.59375,808.59375,670.0
824.21875,824.21875,1060.0
800.78125,796.875,1090.0
750.0,753.90625,1010.0
707.03125,707.03125,740.0
699.21875,695.3125,680.0
718.75,714.84375,790.0
781.25,781.25,910.0
769.53125,773.4375,970.0
753.90625,757.8125,710.0
800.78125,796.875,1780.0
824.21875,820.3125,1820.0
789.0625,792.96875,1150.0
781.25,781.25,750.0
800.78125,796.875,950.0
808.59375,812.5,990.0
789.0625,789.0625,1140.0
761.71875,765.625,1220.0
773.4375,765.625,860.0
789.0625,789.0625,840.0
781.25,781.25,1020.0
761.71875,765.625,1460.0
816.40625,812.5,680.0
839.84375,843.75,780.0
828.125,828.125,1060.0
812.5,812.5,1330.0
835.9375,832.03125,830.0
820.3125,824.21875,950.0
773.4375,777.34375,970.0
781.25,777.34375,1080.0
769.53125,769.53125,1900.0
746.09375,746.09375,900.0
734.375,730.46875,1440.0
738.28125,738.28125,1230.0
761.71875,761.71875,1790.0
750.0,750.0,710.0
800.78125,796.875,970.0
843.75,843.75,870.0
847.65625,851.5625,830.0
820.3125,824.21875,1090.0
859.375,859.375,1450.0
867.1875,867.1875,910.0
812.5,812.5,760.0
773.4375,777.34375,840.0
785.15625,777.34375,1480.0
796.875,796.875,1350.0
773.4375,777.34375,660.0
800.78125,800.78125,1460.0
835.9375,835.9375,830.0
851.5625,851.5625,810.0
812.5,816.40625,1120.0
855.46875,851.5625,660.0
867.1875,867.1875,760.0
855.46875,859.375,870.0
820.3125,820.3125,1160.0
843.75,843.75,1080.0
832.03125,832.03125,790.0
789.0625,789.0625,690.0
820.3125,816.40625,1190.0
839.84375,843.75,710.0
843.75,843.75,1310.0
812.5,812.5,1220.0
843.75,843.75,690.0
867.1875,867.1875,1220.0
824.21875,824.21875,950.0
855.46875,859.375,720.0
847.65625,843.75,740.0
835.9375,839.84375,800.0
789.0625,785.15625,830.0
804.6875,804.6875,750.0
804.6875,800.78125,780.0
804.6875,804.6875,730.0
785.15625,781.25,1260.0
800.78125,796.875,1090.0
796.875,792.96875,1090.0
785.15625,789.0625,820.0
761.71875,765.625,860.0
750.0,750.0,840.0
750.0,746.09375,910.0
785.15625,785.15625,1050.0
800.78125,804.6875,670.0
777.34375,781.25,1160.0
757.8125,757.8125,710.0
753.90625,757.8125,840.0
789.0625,785.15625,860.0
812.5,812.5,900.0
796.875,796.875,1180.0
753.90625,753.90625,1370.0
