RRI_inf,PPI_inf,PPI_pix,label
804.6875,804.6875,800.0,0.0
851.5625,847.65625,850.0,0.0
902.34375,906.25,900.0,0.0
906.25,906.25,910.0,0.0
773.4375,781.25,780.0,0.0
777.34375,769.53125,770.0,0.0
871.09375,867.1875,870.0,0.0
855.46875,859.375,860.0,0.0
796.875,800.78125,800.0,0.0
738.28125,738.28125,740.0,0.0
750.0,742.1875,730.0,0.0
785.15625,785.15625,790.0,0.0
824.21875,828.125,820.0,0.0
843.75,843.75,840.0,0.0
746.09375,750.0,750.0,0.0
730.46875,726.5625,740.0,0.0
757.8125,753.90625,740.0,0.0
796.875,792.96875,800.0,0.0
773.4375,773.4375,770.0,0.0
722.65625,726.5625,730.0,0.0
746.09375,742.1875,740.0,0.0
726.5625,726.5625,720.0,0.0
722.65625,718.75,730.0,0.0
726.5625,726.5625,710.0,0.0
664.0625,667.96875,670.0,0.0
644.53125,640.625,640.0,0.0
640.625,640.625,650.0,0.0
636.71875,632.8125,640.0,0.0
675.78125,671.875,660.0,0.0
644.53125,644.53125,660.0,0.0
644.53125,644.53125,630.0,0.0
679.6875,679.6875,670.0,0.0
707.03125,699.21875,720.0,0.0
687.5,695.3125,690.0,0.0
683.59375,687.5,680.0,0.0
738.28125,738.28125,740.0,0.0
808.59375,804.6875,800.0,0.0
753.90625,765.625,760.0,0.0
683.59375,683.59375,690.0,0.0
679.6875,675.78125,670.0,0.0
656.25,656.25,640.0,0.0
660.15625,660.15625,680.0,0.0
625.0,628.90625,620.0,0.0
636.71875,628.90625,630.0,0.0
644.53125,644.53125,640.0,0.0
656.25,656.25,660.0,0.0
636.71875,636.71875,630.0,0.0
636.71875,636.71875,650.0,0.0
664.0625,664.0625,650.0,0.0
738.28125,734.375,740.0,0.0
671.875,675.78125,680.0,0.0
714.84375,714.84375,710.0,0.0
683.59375,683.59375,680.0,0.0
664.0625,667.96875,660.0,0.0
648.4375,644.53125,650.0,0.0
656.25,660.15625,660.0,0.0
640.625,632.8125,640.0,0.0
632.8125,636.71875,630.0,0.0
644.53125,636.71875,650.0,0.0
636.71875,640.625,630.0,0.0
597.65625,601.5625,610.0,0.0
585.9375,582.03125,570.0,0.0
570.3125,574.21875,580.0,0.0
562.5,558.59375,560.0,0.0
570.3125,566.40625,560.0,0.0
617.1875,617.1875,610.0,0.0
703.125,707.03125,710.0,0.0
632.8125,644.53125,630.0,0.0
609.375,605.46875,620.0,0.0
597.65625,601.5625,600.0,0.0
605.46875,601.5625,600.0,0.0
648.4375,644.53125,630.0,0.0
710.9375,710.9375,720.0,0.0
750.0,753.90625,760.0,0.0
652.34375,660.15625,660.0,0.0
632.8125,628.90625,620.0,0.0
656.25,652.34375,650.0,0.0
687.5,687.5,690.0,0.0
683.59375,683.59375,690.0,0.0
664.0625,667.96875,660.0,0.0
648.4375,644.53125,650.0,0.0
660.15625,660.15625,650.0,0.0
683.59375,683.59375,690.0,0.0
714.84375,714.84375,710.0,0.0
660.15625,664.0625,650.0,0.0
644.53125,640.625,660.0,0.0
667.96875,667.96875,660.0,0.0
699.21875,699.21875,700.0,0.0
761.71875,761.71875,760.0,0.0
843.75,847.65625,840.0,0.0
792.96875,800.78125,800.0,0.0
761.71875,757.8125,760.0,0.0
789.0625,785.15625,790.0,0.0
867.1875,871.09375,860.0,0.0
902.34375,906.25,920.0,0.0
789.0625,792.96875,790.0,0.0
785.15625,785.15625,760.0,0.0
789.0625,785.15625,800.0,0.0
789.0625,785.15625,790.0,0.0
757.8125,761.71875,760.0,0.0
738.28125,734.375,730.0,0.0
796.875,796.875,790.0,0.0
792.96875,792.96875,800.0,0.0
773.4375,777.34375,770.0,0.0
746.09375,746.09375,750.0,0.0
742.1875,738.28125,730.0,0.0
781.25,781.25,790.0,0.0
835.9375,835.9375,840.0,0.0
906.25,902.34375,900.0,0.0
765.625,773.4375,760.0,0.0
726.5625,726.5625,730.0,0.0
734.375,726.5625,720.0,0.0
773.4375,773.4375,780.0,0.0
804.6875,804.6875,800.0,0.0
765.625,769.53125,780.0,0.0
707.03125,707.03125,690.0,0.0
667.96875,664.0625,670.0,0.0
691.40625,683.59375,690.0,0.0
757.8125,757.8125,760.0,0.0
808.59375,808.59375,800.0,0.0
843.75,843.75,850.0,0.0
792.96875,804.6875,800.0,0.0
675.78125,679.6875,680.0,0.0
652.34375,644.53125,650.0,0.0
644.53125,640.625,630.0,0.0
691.40625,683.59375,690.0,0.0
804.6875,812.5,810.0,0.0
906.25,906.25,900.0,0.0
859.375,875.0,870.0,0.0
742.1875,738.28125,740.0,0.0
738.28125,734.375,720.0,0.0
785.15625,785.15625,800.0,0.0
820.3125,820.3125,810.0,0.0
886.71875,886.71875,890.0,0.0
808.59375,812.5,810.0,0.0
750.0,750.0,750.0,0.0
777.34375,773.4375,770.0,0.0
855.46875,859.375,860.0,0.0
875.0,875.0,880.0,0.0
808.59375,808.59375,800.0,0.0
710.9375,710.9375,710.0,0.0
703.125,699.21875,700.0,0.0
710.9375,710.9375,710.0,0.0
773.4375,769.53125,770.0,0.0
753.90625,753.90625,760.0,0.0
703.125,710.9375,700.0,0.0
718.75,714.84375,720.0,0.0
746.09375,742.1875,740.0,0.0
781.25,781.25,780.0,0.0
730.46875,734.375,730.0,0.0
707.03125,707.03125,720.0,0.0
710.9375,710.9375,700.0,0.0
734.375,734.375,730.0,0.0
785.15625,785.15625,780.0,0.0
761.71875,761.71875,770.0,0.0
722.65625,726.5625,720.0,0.0
