Trial 1:0back,Trial 2:2back,Trial 3:3back,Trial 4:2back,Trial 5:3back,Trial 6:0back
-1708905.0,-1474417.0,-1263171.0,-1209485.0,-1274341.0,-918039.0
-1709741.0,-1474951.0,-1263349.0,-1209437.0,-1275071.0,-918073.0
-1710311.0,-1474239.0,-1263599.0,-1209793.0,-1275329.0,-918715.0
-1710259.0,-1474525.0,-1264507.0,-1210279.0,-1276235.0,-918999.0
-1710935.0,-1474543.0,-1265077.0,-1210667.0,-1276609.0,-919581.0
-1709831.0,-1475147.0,-1265397.0,-1211007.0,-1277337.0,-920163.0
-1709955.0,-1475129.0,-1265539.0,-1211315.0,-1278001.0,-920995.0
-1709457.0,-1474649.0,-1266217.0,-1211639.0,-1278923.0,-921339.0
-1707641.0,-1474933.0,-1266163.0,-1211849.0,-1279117.0,-921767.0
-1705753.0,-1474933.0,-1266999.0,-1212399.0,-1279215.0,-922383.0
-1704523.0,-1474381.0,-1266981.0,-1213339.0,-1279117.0,-922491.0
-1701461.0,-1475147.0,-1267641.0,-1213419.0,-1279117.0,-922515.0
-1699003.0,-1474471.0,-1267659.0,-1213937.0,-1279117.0,-922859.0
-1697027.0,-1475201.0,-1268495.0,-1214327.0,-1278859.0,-922905.0
-1694765.0,-1474613.0,-1268335.0,-1214569.0,-1279199.0,-922099.0
-1692591.0,-1475379.0,-1269191.0,-1215493.0,-1278649.0,-922051.0
-1690579.0,-1474863.0,-1268995.0,-1216317.0,-1278923.0,-922063.0
-1688941.0,-1475503.0,-1269403.0,-1216673.0,-1278955.0,-921411.0
-1687303.0,-1476163.0,-1270009.0,-1217305.0,-1278745.0,-920745.0
-1686181.0,-1475949.0,-1269849.0,-1217241.0,-1279813.0,-920745.0
-1684863.0,-1476055.0,-1271043.0,-1218001.0,-1280187.0,-919973.0
-1683455.0,-1476679.0,-1271291.0,-1218211.0,-1280931.0,-919855.0
-1683099.0,-1476573.0,-1271345.0,-1218487.0,-1281449.0,-919593.0
-1682049.0,-1477249.0,-1272111.0,-1219281.0,-1280963.0,-919131.0
-1680429.0,-1477035.0,-1271629.0,-1219669.0,-1281077.0,-919427.0
-1680553.0,-1477551.0,-1271755.0,-1219783.0,-1280203.0,-919523.0
-1679841.0,-1478121.0,-1271309.0,-1219767.0,-1279101.0,-919593.0
-1679413.0,-1478835.0,-1270917.0,-1219621.0,-1277239.0,-920389.0
-1678451.0,-1478799.0,-1270187.0,-1218601.0,-1275281.0,-920829.0
-1679343.0,-1479297.0,-1269225.0,-1217289.0,-1272285.0,-921885.0
-1678613.0,-1479761.0,-1268781.0,-1216479.0,-1269647.0,-921957.0
-1677669.0,-1479617.0,-1267445.0,-1215493.0,-1267137.0,-922871.0
-1677597.0,-1479529.0,-1267231.0,-1213841.0,-1264029.0,-923583.0
-1677829.0,-1480811.0,-1266377.0,-1212189.0,-1261407.0,-924283.0
-1676743.0,-1481791.0,-1265913.0,-1210959.0,-1258687.0,-924081.0
-1676011.0,-1481791.0,-1265291.0,-1209907.0,-1257019.0,-924995.0
-1675745.0,-1481291.0,-1264773.0,-1208983.0,-1255255.0,-925921.0
-1674071.0,-1481969.0,-1265237.0,-1208547.0,-1252987.0,-926657.0
-1673733.0,-1482931.0,-1264559.0,-1207641.0,-1252729.0,-927311.0
-1673733.0,-1482931.0,-1264827.0,-1207511.0,-1251531.0,-928213.0
-1672771.0,-1483483.0,-1265023.0,-1207187.0,-1250947.0,-929055.0
-1671755.0,-1483839.0,-1265059.0,-1206669.0,-1251175.0,-929673.0
-1670973.0,-1483305.0,-1264899.0,-1206297.0,-1250381.0,-930813.0
-1671293.0,-1483019.0,-1264933.0,-1206215.0,-1250317.0,-930919.0
-1670777.0,-1483483.0,-1265611.0,-1206069.0,-1250883.0,-932119.0
-1670581.0,-1482199.0,-1265575.0,-1206733.0,-1250705.0,-933567.0
-1669493.0,-1482075.0,-1265931.0,-1206151.0,-1250979.0,-934447.0
-1669921.0,-1481257.0,-1267125.0,-1206167.0,-1251303.0,-935135.0
-1670081.0,-1481149.0,-1266981.0,-1206361.0,-1252161.0,-936215.0
-1669299.0,-1480739.0,-1267713.0,-1206685.0,-1253231.0,-937069.0
-1669103.0,-1480687.0,-1268157.0,-1207057.0,-1253571.0,-937805.0
-1669351.0,-1479777.0,-1268085.0,-1207607.0,-1253231.0,-938637.0
-1669673.0,-1479369.0,-1268033.0,-1207801.0,-1254185.0,-939681.0
-1669583.0,-1479155.0,-1268799.0,-1207301.0,-1253975.0,-940311.0
-1670473.0,-1479119.0,-1268817.0,-1207381.0,-1254283.0,-940477.0
-1670225.0,-1479885.0,-1268691.0,-1208369.0,-1253425.0,-939539.0
-1669833.0,-1479137.0,-1268923.0,-1207623.0,-1252615.0,-938399.0
-1670421.0,-1479689.0,-1268513.0,-1208239.0,-1252745.0,-936963.0
-1669957.0,-1479065.0,-1268887.0,-1208385.0,-1251677.0,-935099.0
-1670277.0,-1479101.0,-1269083.0,-1207819.0,-1250575.0,-932677.0
-1670509.0,-1478727.0,-1269333.0,-1207867.0,-1249555.0,-930255.0
-1670599.0,-1479457.0,-1269689.0,-1207479.0,-1248519.0,-928059.0
