Resting_ECG,Resting_PPG,Resting_GSR
-0.078,33.718,0.8009999999999999
-0.08199999999999999,33.695,0.8029999999999999
-0.071,33.668,0.804
-0.075,33.638000000000005,0.804
-0.07,33.608000000000004,0.805
-0.069,33.578,0.8059999999999999
-0.057,33.549,0.8079999999999999
-0.039,33.522,0.8079999999999999
-0.022000000000000002,33.496,0.8079999999999999
0.005,33.472,0.8079999999999999
0.07,33.449,0.8079999999999999
0.187,33.427,0.8079999999999999
0.327,33.408,0.807
0.562,33.389,0.8059999999999999
0.862,33.372,0.8059999999999999
1.023,33.356,0.8059999999999999
1.1,33.341,0.8059999999999999
1.068,33.328,0.805
0.9620000000000001,33.315,0.805
0.778,33.304,0.8059999999999999
0.508,33.293,0.8059999999999999
0.162,33.283,0.805
-0.142,33.272,0.804
-0.345,33.260999999999996,0.804
-0.345,33.25,0.805
-0.27,33.238,0.8059999999999999
-0.22699999999999998,33.226,0.809
-0.231,33.213,0.81
-0.23600000000000002,33.199,0.8109999999999999
-0.23399999999999999,33.183,0.81
-0.23800000000000002,33.165,0.81
-0.245,33.147,0.8109999999999999
-0.249,33.128,0.813
-0.247,33.109,0.813
-0.24100000000000002,33.089,0.813
-0.23800000000000002,33.068000000000005,0.8140000000000001
-0.23399999999999999,33.045,0.8140000000000001
-0.239,33.02,0.813
-0.245,32.993,0.812
-0.226,32.966,0.8109999999999999
-0.226,32.938,0.8109999999999999
-0.239,32.912,0.8109999999999999
-0.22699999999999998,32.887,0.8109999999999999
-0.217,32.866,0.8109999999999999
-0.215,32.85,0.813
-0.218,32.836999999999996,0.813
-0.21,32.83,0.813
-0.209,32.826,0.813
-0.205,32.825,0.8140000000000001
-0.20199999999999999,32.826,0.815
-0.198,32.829,0.816
-0.191,32.832,0.815
-0.18,32.834,0.815
-0.172,32.836,0.815
-0.18100000000000002,32.836999999999996,0.8140000000000001
-0.177,32.836,0.813
-0.16899999999999998,32.833,0.812
-0.16899999999999998,32.828,0.812
-0.17300000000000001,32.82,0.8109999999999999
-0.163,32.81,0.8109999999999999
-0.152,32.798,0.812
-0.15,32.783,0.812
-0.149,32.765,0.812
-0.145,32.745,0.812
-0.135,32.724000000000004,0.8109999999999999
-0.136,32.702,0.8109999999999999
-0.135,32.679,0.81
-0.138,32.657,0.809
-0.14,32.635999999999996,0.8079999999999999
-0.13,32.618,0.807
-0.126,32.603,0.8079999999999999
-0.126,32.592,0.809
-0.122,32.586999999999996,0.809
-0.11900000000000001,32.589,0.81
-0.124,32.601,0.8109999999999999
-0.128,32.626,0.812
-0.11800000000000001,32.668,0.812
-0.11599999999999999,32.728,0.812
-0.12300000000000001,32.808,0.813
-0.12300000000000001,32.911,0.815
-0.11699999999999999,33.037,0.815
-0.115,33.186,0.816
-0.121,33.355,0.8170000000000001
-0.12300000000000001,33.544000000000004,0.8170000000000001
-0.131,33.749,0.8170000000000001
-0.139,33.966,0.816
-0.133,34.193000000000005,0.815
-0.134,34.425,0.815
-0.14800000000000002,34.657,0.8140000000000001
-0.14800000000000002,34.885999999999996,0.813
-0.14800000000000002,35.107,0.812
-0.16,35.318000000000005,0.813
-0.16899999999999998,35.512,0.8140000000000001
-0.161,35.688,0.8140000000000001
-0.157,35.842,0.815
-0.16,35.968,0.816
-0.162,36.062,0.816
-0.163,36.126,0.816
-0.175,36.162,0.815
-0.17,36.173,0.815
-0.162,36.162,0.815
-0.171,36.134,0.816
-0.171,36.095,0.815
-0.16,36.047,0.815
-0.156,35.995,0.816
-0.155,35.944,0.816
-0.153,35.895,0.816
-0.14,35.85,0.8170000000000001
-0.14,35.81,0.8190000000000001
-0.136,35.775,0.821
-0.11900000000000001,35.745,0.821
-0.109,35.719,0.82
-0.10300000000000001,35.698,0.82
-0.085,35.68,0.82
-0.07,35.664,0.82
-0.064,35.647,0.82
-0.057,35.63,0.82
-0.042,35.611,0.82
-0.046,35.59,0.82
-0.035,35.567,0.82
-0.023,35.543,0.821
-0.013000000000000001,35.516999999999996,0.823
-0.008,35.489000000000004,0.8240000000000001
0.003,35.461,0.8240000000000001
0.013999999999999999,35.433,0.823
0.016,35.405,0.823
0.025,35.376999999999995,0.823
0.033,35.35,0.8220000000000001
0.031,35.323,0.821
0.027999999999999997,35.298,0.82
0.036000000000000004,35.274,0.821
0.044000000000000004,35.251999999999995,0.821
0.039,35.232,0.8220000000000001
0.05,35.216,0.823
0.062,35.204,0.825
0.053,35.194,0.826
0.055999999999999994,35.184,0.826
0.06,35.174,0.8270000000000001
0.063,35.162,0.8270000000000001
0.061,35.146,0.828
0.062,35.126999999999995,0.828
0.06,35.106,0.8270000000000001
0.059000000000000004,35.083,0.828
0.062,35.059,0.8290000000000001
0.064,35.036,0.83
0.064,35.013000000000005,0.831
0.066,34.992,0.833
0.073,34.972,0.8340000000000001
0.07,34.954,0.835
0.071,34.938,0.835
0.076,34.923,0.836
0.076,34.91,0.835
0.075,34.899,0.8340000000000001
0.08,34.889,0.8340000000000001
0.09,34.881,0.8340000000000001
0.09300000000000001,34.875,0.8340000000000001
0.094,34.871,0.833
0.10099999999999999,34.867,0.8320000000000001
0.098,34.866,0.831
0.09300000000000001,34.866,0.831
0.098,34.867,0.831
0.102,34.871,0.831
0.10099999999999999,34.876999999999995,0.8320000000000001
0.11,34.885999999999996,0.835
0.126,34.897,0.836
0.128,34.909,0.836
0.12,34.921,0.836
0.122,34.931,0.836
0.124,34.94,0.8370000000000001
0.12,34.946,0.8390000000000001
0.126,34.949,0.8390000000000001
0.136,34.949,0.8390000000000001
0.13,34.945,0.838
0.126,34.939,0.838
0.139,34.929,0.8370000000000001
0.139,34.915,0.836
0.135,34.898,0.835
0.129,34.879,0.835
0.128,34.859,0.8340000000000001
0.134,34.838,0.8340000000000001
0.135,34.817,0.836
0.158,34.795,0.838
0.151,34.773,0.838
0.157,34.75,0.838
0.155,34.726,0.8390000000000001
0.149,34.703,0.841
0.147,34.679,0.841
0.156,34.655,0.84
0.15,34.63,0.8390000000000001
0.142,34.604,0.838
0.147,34.578,0.838
0.156,34.551,0.838
0.146,34.524,0.8390000000000001
0.147,34.497,0.84
0.154,34.469,0.8420000000000001
0.157,34.442,0.843
0.163,34.415,0.843
0.172,34.387,0.843
0.17600000000000002,34.359,0.843
0.168,34.329,0.843
0.161,34.299,0.8420000000000001
0.165,34.269,0.841
0.17,34.239000000000004,0.841
0.168,34.211999999999996,0.84
0.172,34.187,0.84
0.175,34.165,0.841
0.17600000000000002,34.148,0.843
0.177,34.135999999999996,0.8440000000000001
0.188,34.126999999999995,0.843
0.18899999999999997,34.122,0.843
0.185,34.121,0.843
0.185,34.12,0.843
0.19399999999999998,34.12,0.843
