CDA.SCR-Onset	CDA.SCR-Amplitude
  0.1000	  0.1191
  2.2000	  0.0141
  3.8000	  0.0396
  5.4000	  0.0157
  6.5000	  0.0127
  8.0000	  0.0466
 11.3000	  0.0122
 32.8000	  0.0108
179.6000	  0.0112
184.9000	  0.0107
216.9000	  0.0142
219.7000	  0.0159
224.3000	  0.0408
226.9000	  0.0101
229.4000	  0.0181
230.8000	  0.0258
231.8000	  0.0560
233.0000	  0.1099
234.6000	  0.0397
236.0000	  0.0192
237.8000	  0.0692
238.7000	  0.0269
244.2000	  0.0198
253.2000	  0.0295
260.0000	  0.0273
260.8000	  0.0317
262.8000	  0.0311
264.2000	  0.0429
266.0000	  0.0196
269.8000	  0.0796
273.2000	  0.0224
284.7000	  0.0185
296.4000	  0.0123
308.1000	  0.0249
309.8000	  0.0887
312.0000	  0.1502
314.8000	  0.1321
316.4000	  0.0511
317.9000	  0.0318
319.8000	  0.0128
321.5000	  0.0129
322.9000	  0.0235
325.0000	  0.0405
327.2000	  0.0207
340.5000	  0.0103
342.9000	  0.0600
343.9000	  0.0536
345.1000	  0.0483
346.6000	  0.0118
348.1000	  0.0337
349.3000	  0.0217
350.2000	  0.0468
353.5000	  0.0107
418.7000	  0.0106
419.8000	  0.0132
425.7000	  0.0220
431.4000	  0.0179
442.4000	  0.0200
529.0000	  0.0196
531.2000	  0.0430
532.5000	  0.1764
533.7000	  0.1041
536.2000	  0.0181
537.0000	  0.0104
538.5000	  0.0480
541.2000	  0.0270
569.6000	  0.0101
584.9000	  0.0104
587.3000	  0.0107
589.2000	  0.0118
590.6000	  0.0104
591.6000	  0.0277
593.3000	  0.0240
596.4000	  0.0114
597.4000	  0.0130
598.8000	  0.0167
599.8000	  0.0102
601.3000	  0.0192
602.4000	  0.0102
603.8000	  0.0174
604.8000	  0.0116
619.7000	  0.0124
625.8000	  0.0153
676.8000	  0.0107
687.2000	  0.0219
693.0000	  0.0141
697.1000	  0.0136
701.3000	  0.0177
703.0000	  0.0234
711.7000	  0.0122
715.5000	  0.0137
854.7000	  0.0114
895.4000	  0.0114
915.7000	  0.0112
917.9000	  0.0140
927.5000	  0.0309
963.4000	  0.0143
969.5000	  0.0142
972.3000	  0.1005
978.7000	  0.0205
980.4000	  0.0101
983.7000	  0.0169
984.6000	  0.0153
985.5000	  0.0150
986.5000	  0.0330
988.9000	  0.0150
991.2000	  0.0114
992.3000	  0.0231
994.8000	  0.0193
995.8000	  0.0210
997.3000	  0.0141
998.8000	  0.0336
